Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,171.0,171.85,170.48,171.08,16480187.0,0.0,1.0,165.1362040807112,165.95705655713576,164.6340355068985,165.2134607843747,16480187.0
2017-12-27,170.1,170.78,169.71,170.6,21498213.0,0.0,1.0,164.26706616449692,164.92374814563658,163.8904397341374,164.74992056239373,21498213.0
2017-12-26,170.8,171.47,169.679,170.57,33185536.0,0.0,1.0,164.94306232155247,165.59008721473418,163.8605027614678,164.7209492985199,33185536.0
2017-12-22,174.68,175.424,174.5,175.01,16349444.0,0.0,1.0,168.69001244923177,169.4084997933022,168.5161848659889,169.00869635184364,16349444.0
2017-12-21,174.17,176.02,174.1,175.01,20949896.0,0.0,1.0,168.197500963377,169.98406223559525,168.12990134767145,169.00869635184364,20949896.0
2017-12-20,174.87,175.42,173.25,174.35,23475649.0,0.0,1.0,168.87349712043255,169.40463695811903,167.30904887124686,168.37132854661985,23475649.0
2017-12-19,175.03,175.39,174.09,174.54,27436447.0,0.0,1.0,169.02801052775953,169.3756656942452,168.1202442597135,168.55481321782065,27436447.0
2017-12-18,174.88,177.2,174.86,176.42,29421114.0,0.0,1.0,168.88315420839047,171.1235986146317,168.86384003247463,170.37034575391266,29421114.0
2017-12-15,173.63,174.17,172.46,173.97,40169307.0,0.0,1.0,167.67601821364843,168.197500963377,166.5461389225699,168.00435920421828,40169307.0
2017-12-14,172.4,173.13,171.65,172.22,20476541.0,0.0,1.0,166.48819639482227,167.19316381575163,165.76391479797707,166.3143688115794,20476541.0
2017-12-13,172.5,173.54,172.0,172.27,23818447.0,0.0,1.0,166.58476727440163,167.589104422027,166.10191287650483,166.36265425136912,23818447.0
2017-12-12,172.15,172.39,171.461,171.7,19409230.0,0.0,1.0,166.24676919587387,166.47853930686432,165.58139583557207,165.81220023776672,19409230.0
2017-12-11,169.2,172.89,168.79,172.67,35273759.0,0.0,1.0,163.39792824828262,166.96139370476115,163.00198764200724,166.74893776968653,35273759.0
2017-12-08,170.49,171.0,168.82,169.37,23355231.0,0.0,1.0,164.64369259485645,165.1362040807112,163.03095890588105,163.56209874356756,23355231.0
2017-12-07,169.03,170.44,168.91,169.32,25673308.0,0.0,1.0,163.23375775299772,164.59540715506674,163.1178726975025,163.51381330377788,25673308.0
2017-12-06,167.5,170.2047,166.46,169.01,28560000.0,0.0,1.0,161.75622329543347,164.3681758754165,160.7518861478081,163.21444357708185,28560000.0
2017-12-05,169.06,171.52,168.4,169.64,27350154.0,0.0,1.0,163.26272901687153,165.6383726545239,162.62536121164774,163.82284011843183,27350154.0
2017-12-04,172.48,172.62,169.63,169.8,32542385.0,0.0,1.0,166.56545309848576,166.70065232989688,163.8131830304739,163.97735352575884,32542385.0
2017-12-01,169.95,171.67,168.5,171.05,39759288.0,0.0,1.0,164.12220984512786,165.7832289738929,162.7219320912271,165.18448952050088,39759288.0
2017-11-30,170.43,172.14,168.44,171.85,41527218.0,0.0,1.0,164.58575006710882,166.23711210791592,162.66398956347948,165.95705655713576,41527218.0
2017-11-29,172.63,172.92,167.16,169.48,41666364.0,0.0,1.0,166.7103094178548,166.99036496863494,161.42788230486363,163.66832671110487,41666364.0
2017-11-28,174.3,174.87,171.86,173.07,26428802.0,0.0,1.0,168.3230431068302,168.87349712043255,165.96671364509373,167.135221288004,26428802.0
2017-11-27,175.05,175.08,173.34,174.09,20716802.0,0.0,1.0,169.0473247036754,169.0762959675492,167.3959626628683,168.1202442597135,20716802.0
